Input,Output,
"Extract the pro's and con's and summarize into short points max of 5 points: 

Text: MODERN DESIGN: This set of two Studio Gallery frames feature a 1.125"" wide profile and a modern gray woodgrain finish creating a traditional display for your cherished memories or favorite photographs. DIMENSIONS: Each frame measures 15.75x.70x23.75 inches and holds one 14x22 inch photograph or art print. QUALITY CONSTRUCTION: Each frame is constructed of durable MDF wood with a shatter resistant plexi front that helps prevent breakage. EASY TO USE: Easy to open turn buttons make adding your photograph a breeze; Frame includes pre-attached sawtooth hangers for vertical or horizontal hanging. WALL DECOR: With a passion for design, trend and functionality, MCS delivers best-in-class products that help make your house a home; Showcase your most cherished memories and favorite photographs with the Studio Gallery Frame Collection; With multiple sizes and finishes to choose from, you can create a beautiful gallery wall in your homenanThese are perfect frames. I got the white ones and I�m obsessed. Did not come with any damage or warping of the plexiglass. Also someone mentioned that the plexiglass was foggy. There is a sticker that said peel off protective film before use. Thankfully they had that sticker because at first I was bummed it looked foggy. Once I peeled off the film it looked crystal clear. Only thing is one frame in my two pack had film on both sides and the other frame only had film on one side. I sat there flicking the edge for a minute before I realized. Just know there may be film on one or both sides of glass. Highly recommend for the price. Frames are expensive as hell so I�m glad I found these.We used the frames for two posters in our nursery. The posters were not cheap and we had them custom matted, so we wanted a nicer look to the frames as well. These were perfect because they�re not too heavy weight, but still look like nice quality and not cheap looking. I personally like that it�s not glass, since it�s in a nursery and I don�t want to risk glass breaking. Overall, for the size of the frame, it�s a good deal for the items.This is a real quality frame. I purchased it in the weathered white & I love it. Put a beach themed puzzle in it & hung on my bedroom wall. It looks great! The puzzle was a tight fit for thickness, but it did work. I�m glad I bought it.Great frames! Mine came packaged nicely with protective foam on the corners and a plastic film on the front of both Poster frames.. The black has hooks that twist to lock down the frame's back, which I find way easier than the metal that you have to bend to lock in. The wood is study and is a nice washed out white-tan color. Overall I'm happy with the purchase! Doesn't look or feel like cheap frame material, so I think it's worth the price.Pro's:","Pro's: 
-1.125"" wide profile
-modern gray woodgrain finish
-durable MDF wood
-shatter resistant plexi front
-easy to open turn buttons
Con's: 
-one frame in my two pack had film on both sides and the other frame only had film on one side",37
"Extract the pro's and con's and summarize into short points max of 5 points: 

Text: nanHere Mitten's art really blends his work and the feeling achieved by Templesmith in the original series. There are some massive character redesigns that happened over the course of the prior book--Mitten slowly pushing Sam Keith's art out of the design palate. I talk about the art, however, because the plot here just doesn't work. Eben's motivations start to make no sense and the introduction of elder vampires has almost no consequence. Alice is neither ultimately all that important to the conclusion nor is her accident fully atoned for. Stella appears in dream/ghost form in a way that doesn't really change the Eben arc from either its rampage in the prior volume or his hero role for the rest of the series. The ending seems both rushed and tacked on.Absolutely wonderful graphics. Eben takes on an ancient vampire for control of the coven. Eben also is trying to reanimate the ashes of his dead wife. The FBI nearly gets wiped out by the vamps and everybody�s heading to LA.Did not disappoint. The continued story of the survivors of the massacre of Barrow, Alaska, going On a nationwide rampage.Really enjoyed this one, I wish it was made into a major movie soon. Can't recommend enough, really good issue.nanPro's:","Pro's: 
-The art is wonderful and blends well with the original series
-Eben is a great character who is fighting for control
Con's: 
-The plot doesn't make a lot of sense and is very rushed
-Alice's accident is never fully atoned for",39
"Extract the pro's and con's and summarize into short points max of 5 points: 

Text: ? COMPLETE WOOD PICTURE FRAME: Black Finish - Made To Display Photos, Artwork, Canvases, Chalk Boards, Documents, Mirrors, Puzzles, Mementos, Kids Drawings, Bulletin Boards, Diplomas, Certificates, and All Other Media Measuring 11x15 or 15x11 inches (27.5x37.5 or 37.5x27.5 cm).. ? PERFECT FIT EVERY TIME: Overall Frame Dimensions Measure 12.5x16.5 Inches.. ? ADD TO YOUR HOMES DECOR: Frame Moulding Width: 0.75 Inches. || Frame Rabbet (usable) Depth: 3/8 Inches.. ? DISPLAY WITH CONFIDENCE: Complete frame with UV Resistant Acrylic Front, Acid Free Foam Board Backing, and Hardware.. ? WALL HANGERS INCLUDED: Frame can be displayed vertically or horizontally. PROUDLY MANUFACTURED IN THE USAThis item worked perfect for me.This vendor offered a large variety of sizes and I found on to just fit my Nepalese botanical print. The frame was shipped in a very secure package and it proved easy to install my art item. It comes with a clear plastic ""glass"", a stiff foam backing and a notched mounting hook.The wood frame is soft wood and could be damaged if dropped, but I found it quite handsome, and, as I said, just the ticket.Its a decent frame but the materials used are pretty cheap. Seems overpriced to me. the included hanging hardware doesn't include any materials to attach it to the frame and no instructions. What am I supposed to do just hammer it into the back?Perfect for the puzzle I wanted to frame. Easy to use. I will be ordering more.Perfect. Looks really nice with a matted picture. Shipping was amazing - frame packed in three layers of cardboard, very impressed with that. Acrylic had both sides protected with film that you carefully pull off. I will purchase again when needed.Pro's:","Pro's: 
-Comes with everything needed to frame a picture
-The frame is a decent quality
-The frame is a perfect fit for 11x15 or 15x11 pictures
Con's: 
-The wood frame is made of soft wood and could be damaged if dropped",38
"Extract the pro's and con's and summarize into short points max of 5 points: 

Text: Modern Design: 11x14 White Picture Frame for 8x10 Golden Gate Bridge In San Francisco As The Famous Landmark Wall Art Decor Giclee Photo Print With an Ivory Color Mat. ATTRACTIVE DECORATION: White Photo Frame makes the artwork seem lofty. A great choice for living room bedroom kitchen dining room bathroom bar hotel restaurant office wall decoration. Perfect for Christmas and New Year gifts. Fully Assembled: 2 Ready-To-Hang sturdy hangers on the back for vertical or horizontal options. Comes with turn buttons at the back for ease access and to load pictures.. Molding comes in stunning White or beautifully understated black, to suit any piece.Simple and modern, complements any featured document, print, or photograph.. Protective Packaging: Frame is wrapped very carefully in bubble wrap to ensure safe shipping. Order with confidence, no question asks for any of reasons return.I was impressed with the care taken to encase the frame in protective styrofoam. The frame arrived in perfect condition! After unwrapping the frame, I loved the quality! The size was accurately described. I definitely recommend buying from this sellerThis frame is absolutely beautiful!! I bought it to have an extra of the 11x14 to add to the package of 7 I bought of this same frame! They are super sleek durable and a great product, especially for the price! Can't beat!!!You cannot fit a matted photo in this frame, as there is not enough depth. (A very thin paper mat would fit, but not one that you'd get when the photo is professionally matted). I had to return the frame.I�m always worried buying frames online, but these are great quality and exactly as described!This frame is exactly what I wanted. It's simple and chic and really goes well with the 11x14 artwork I put in it. Easy to open and close. The glass is secure inside the frame, and there isn't much of a glare from it, but I guess that depends on where you place it relative to the lights in the room. Also comes with a mat, which wasn't of any use to me, but it's still nice to have in case I ever want to change out the picture and put it to use. It was also packed securely and arrived safely.Pro's:","Pro's: 
-Comes with turn buttons and hangers for ease of access and hanging
-Protective packaging ensures frame arrives in perfect condition
-simple and chic design
-Mat included
Con's: 
-Mat is not useful for all pictures
-Can't fit a matted photo in the frame",38
"Extract the pro's and con's and summarize into short points max of 5 points: 

Text: ?Fits Two Sizes?Our picture frames fit photos in both 24x36 and 20x30 with the mat. Perfectly compliments any featured document, certificate, photograph, artful prints, even paintings or posters in a beautiful frame. A great choice for any room in your home, office, work, travel or as a decoration or holiday gift for your friends and families!. ?Eco - Friendly?TWING's photo frames are made of eco-friendly and high quality durable MDF wood. and strong shatter-resistant plexiglass. Engineered to withstand damage and falls!Note: glass is plexiglass, not real glass. It can avoid hurting your body when it breaks.. ?Multi - function?Displace 20x30 picture with mat, or displace 24x36 picture without mat.. ?Use and Display?24x36 inch frame hung on the wall horizontally or vertically .. ?Protective Packaging?TWING developed packaging that helps ensure safe delivery of fragile items; order with confidence, click and add to cart.. ?TWING Guarantee?The photo frame may be damaged due to improper handling during transportation. You can contact us at any time and we will solve it for you in time.A frame does not have to do much, in my opinion. All it has to do, is not fall off the wall, and properly fit whichever poster you're framing.The poster I have is 18""x24"" exactly. This frame is not big enough, as it is 18""x23.75"". Therefore, I have two options: bring it somewhere to return it, or cut my poster. I should NOT have to cut my poster when I paid $30 for it. It doesn't even have the back closures that spin, only the ones that fold. It's like the ones at the dollar tree.Also, I would not be surprised if this fell off the wall. The back hanging looks like it's made of aluminum foil.How on earth does this thing have 4 stars on average?!It was exactly what I was looking for...clean simple lines.This frame was total garbage. It was well packaged, but badly warped (unusable). I tried to gently straighten it, which you can generally do with wood, but it snapped. This revealed that it was compressed fiber, not wood (please see photo).So the product description, which says ""Solid Wood"" is a TOTAL lie. Absolutely. No kidding.I think this is where my recycling has ended up. It is so much hassle to re-package and return (no easy drop-off options for this item) that I decided to write off the $47 and tell it like it is.This is a total garbage product. I went out and found very nice frames for about $75 in a bricks-and-mortar store. Anyway, I strongly recommend avoiding this product.Looks beautiful. Fit my picture perfect. Sturdy.The actual opening for the poster is only approximately 23.5x35.5, which means 24x36 posters DON�T FIT unless cut down. I had to use it anyway because it was for an event and there was no time to ship and replace� but MAJOR FAIL on the company that sells this.Pro's:","Pro's: 
-Frame can hold both 24x36 and 20x30 pictures
-Eco-friendly and made of high quality, durable MDF wood
-Shatter-resistant plexiglass
-Can be hung horizontally or vertically
Con's: 
-Poster may have to be cut down to fit frame
-Frame may fall off the wall",38
"Extract the pro's and con's and summarize into short points max of 5 points: 

Text: As a brand, we tend to shake things up in our industry. The status quo of women�s boxing gloves typically includes bright pink or purple variations of gloves designed for men. We�re here to change that. Finally, a glove made for women. Sanabul Easter Egg boxing gloves feature a much narrower silhouette that contours around your hand for a snug and comfortable fit. Generally speaking, women tend to have smaller hands and unisex boxing gloves are often too bulky. Far from boring, our women�s boxing gloves have an eye-catching pastel color palette only found within our brand. The outer material features a sleek, yet sophisticated, design with a matte-finish, making these gloves truly one of a kind. You don�t have to settle for less. Just because we created a fashion forward boxing glove doesn�t mean we cut corners with functionality. These gloves feature the same high quality craftsmanship, performance and durability that has made us industry leaders. Need help deciding which gloves to get? The most common recommendation is the 12 oz size (equivalent to� medium�). Young ladies or kids (over 10 years of age) should go with 8 oz boxing gloves. If you plan on using your gloves for power shots or heavy-bag use, we suggest grabbing the 14 oz sizeI purchased these after using generic gloves for years (the ones you get with your membership at kickboxing gyms) and Everlast. I noticed that the instructor had these gloves, so I figured they must be legit. These seem bulkier than my Everlast, but then again those seemed strangely small. Also, I got the 14 oz for a better workout, whereas my previous pairs were 12, so that could be why, too. I can tell these are good quality and will hold up nicely. For reference, I use them for kickboxing workout classes, not actual boxing. *I will update on durability after a few months.* I like these enough to recommend the brand to my mom, who needed new gloves because her Everlast were falling apart, too. She ordered a different color and they are so cute, I�m jelly. I particularly like that these come in so many cute colors.I have only recently taken up kickboxing but I love it and decided to get a membership and wanted my own gloves. I have small but wide hands so I wanted a smaller glove but still with weight to it. I checked with my gym and the recommended 12oz for women (that's what I was using there). I have used these about 3x now and I definitely love them. Color is fantastic, love the mesh carry bag as well (also fit my wraps in there). I would order these again, only reason not 5 stars is bc I cannot speak to durability yet. If you have very long hands/fingers these may be snug for you.Love them! They are still holding great after 7 monthsLove these gloves! I bought them for the color but they are functional as well. I am a beginner boxer and do bag work . Perfect for my class .lots of compliments too!These gloves are perfect for someone with smaller hands. They come inside/with a carrying case. The only problem I had was how long it took to ship after I purchased them. I do recommend buying wraps to wear underneath. It will help with spacing in the gloves and protects your wrists. They have the perfect amount of padding for punching/ heavy bag work. I take MMA three days a week and they haven�t shown any wear and tear so far.Pro's:","Pro's: 
-Narrower silhouette for female hands
-Contours around hand for snug fit
-Eye-catching pastel color palette
-Sleek, sophisticated design with matte finish
-Same high quality craftsmanship, performance and durability as other Sanabul products
Con's: 
-May be too snug for women with longer fingers/hands",38
"Extract the pro's and con's and summarize into short points max of 5 points: 

Text: Stunning Coffee Brown aluminum roof. Built with 100% Premium Cedar Lumber. Heavy corner gussets. Pre-stained exterior grade cedar that stands up to the elements and ensures years of enjoyment. Standard shipping via common carrier. Curbside delivery only, signature required.Happy with the Gazeoo ,after it Together there was a lot of pieces' . Had to add another coat of sealer on the Gazeoo because I live in South Florida and it�s very humid .and will It is had on wood . Other than that it�s beautiful and very strong.Gorgeous and very sturdy! We did have it professionally assembled and installed and it took the pros about 3 hours to put together. Great quality!Great product. Good price. Less than buying the raw materials from building supply warehouse. Little trick to build by yourself, but manageable.The gazebo is beautiful. We had it professionally assembled and are glad we did since it is a large project (for us). We also had the 2 privacy walls assembled at the same time, also beautiful. Recommend this product.Most detailed instructions I have used in construction. Cuts are precise and hardware is ample. This is the second pavilion I have purchased from Yardistry and I cannot praise the company enough.Pro's:","Pro's: 
-Stunning coffee brown aluminum roof
-Built with 100% premium cedar lumber
-Heavy corner gussets
-Pre-stained exterior grade cedar that stands up to the elements and ensures years of enjoyment
Con's: 
-Signature required for delivery
-Gazebo is a large project, recommend professional assembly",38
"Extract the pro's and con's and summarize into short points max of 5 points: 

Text: Dimensions-Maximum coverage, Assembled size is 13'x13',height is adjustable to 3 positions,MORE SHADE. Easy pop-up shelter provides 169 square feet of shade coverage, big enough for a set of sofas or 4 person tables, allowing 15 people to move freely below.Suitable for picnic,BBQ, camping, parties and other outdoor sports.. Superior Quality:The gazebo top is made of 150D Oxford fabric,with UPF 50+ UV sun protection to help block up to 99% of harmful UV rays.Double top design, wind vented.It is CPAI-84 certified, flame resistant, and the frame is made of sturdy, high-grade engineered steel and powder-coated for rust-resistance.Several drain hole is unique, keep this shelter always dry for a longer service.. Easy to set up:Setup is efficient and hassle-free with PHI VILLA Patio Pop-up Gazebo.Set up with more easy than a traditional tent.Bring the convenient PHI VILLA Patio Pop-up gazebo anywhere for backyard, beach, camping, party, event, etc, Great gift idea for outdoor events, camping, picnics and sporting events. Wheeled Roller Carry Bag Included: Straight leg canopy x 1pcs,Side curtain panels x 4pcs,Top shade cloth x 1pcs,Wind ropes x 4pcs,Stakes x 8pcs.Please take it down when not using.Don�t leave it outdoor more than a week.So you can easily bring the convenient Pop-up gazebo anywhere as a quick, sun-coverage solution.Get Sand Bag:B08ZS1TKKK. Why Buying From PHI VILLA: One year after-sale protection for frame, six months after-sale protection for fabrics and accessories. If you have any other questions, please do not hesitate to contact us.Our professional service team is always available to provide superior service to you.Easy easy set up. After 3 days a freak storm with very high winds blew through when we were not home. Though I had taken extra steps to secure the canopy to my deck and house, the winds got under it and pulled up and over the deck. All steel pieces were intact. The attachment points at each leg were broken in several places. The customer service staff went above and beyond in supplying me with new legs and a canopy to make repairs. Fabulous customer service! Lesson learned. Dont just lower the frame before a pending high wind storm, take off the canopy. Its so easy to take off and put back on.The Phi Villa straight Leg Instant Canopy is a pretty sweet product. It has a roll bag for easier transport and is pretty simple to set up as long as you have two people for set up. I did it by myself and it took about 15 min to do on my own. It's a well crafted product and offers UV protection and is fire retardant (CPAI-84 Standard) and no tools are required for set up. It has an aluminum, one piece frame and offers 169 square feet of shade. It looks quite elegant after setup is complete and is a great addition to a yard, beach party or even a easy set up for a farmer's market. Very happy with the product.My patio looks nice! It is just what I needed, the size is perfect and the quality is goodThis item is great to be part of the building. Color Matched.Waiting for chairs to be coming.13� by 13� also big enough to park my car when I needs. Happy with this order for Multiple use and easy installed.I love the fact that i wrote a letter asking for expedient delivery and they came through love love love it.....Thank you so much, great product, would buy again if needed!Pro's:","Pro's: 
-Superior quality
-Easy to set up
-Canopy provides UV protection
-Canopy is fire retardant
-Canopy is big enough to fit a set of sofas or 4 person tables
Con's: 
-If not taken down during a storm, the wind can damage the canopy",38
"Extract the pro's and con's and summarize into short points max of 5 points: 

Text: FUNCTIONS - 10� x 12� universal netting mesh screen has a protection while it�s occupants enjoy the use of lounging or dining in the outdoors. Fit Lowe's Allen Roth #GF-12S004B / #TPGAZ17-002 / #GF-12S004BTO. DESIGN - The breathable gazebo netting is designed with a small mesh gap even the tiny inspects cannot penetrate. The zippers are made of high-quality resin and designed with double heads allowing the user to open or close the gazebo not only from outside but also inside.. LEISURE TIME - Enjoy a sweet nap or savor a meal within a gazebo without being harrassed. INSTALLATION - Easy to attach with clip-on rings or hooks, which meet the needs of different gazebo structures. Hooks are for sliding rails, and the hanging rings are for square or round tube (maximum 1 inch diameter tube ).. NOTICE - there is only 4-panel nettings, top roof is not includedIt fit perfectly. The only thing that I had a problem with is that it wasn�t marked so I knew which sides were 10 feet and which were 12 feet! It cane with two sets of connectors so it can be hung similar to a shower curtain or use sliding hooks on a track.Well made, easy to install and works great at keeping out the bugs. Important tip! If you have string lights on your gazebo, hang the screen inside and the lights outside. It makes a HUGE difference!Muy satisfecho por el producto, excelente compra, medida perfecta y buena calidad.Easy to install, looks good, helps keeps mosquitoes away!Great quality good value. Easy instructions for installing.Pro's:","Pro's: 
-The netting is designed to keep out even the smallest of insects 
-The zippers are made of high quality resin 
-The netting is easy to install 
-The netting is a good value 
Con's: 
-There are no cons!",38
"Extract the pro's and con's and summarize into short points max of 5 points: 

Text: Nominal Size: 16 x 20 x 1, Actual Size: 15 1/2 x 19 1/2 x 3/4 (15.5 x 19.5 x 0.75). Measure your air filter for the exact size and compare it to our actual size to ensure proper fit.. Ideal for high efficiency air filtration and will help those with moderate allergies and asthma.. Nordic Pure MERV 12 is equivalent to MPR 1500-1900. Made in the USAIt was time to reorder some 16x20x1 filters, and I noticed that the six pack I'd normally buy was EXTREMELY expensive. While I like the performance of the other product, I figured it was worth looking into alternatives. The first problem: what's a suitable alternative? There are multiple performance rating systems for HVAC filters. MERV vs MPR? I had to find a chart online to find out that MERV 14 to 16 was roughly equivalent to the MPR 2200.So... how are the Nordic Pure 16x20x1 MERV 14 Plus Carbon Pleated AC Furnace Air Filters? My first impressions of the construction were positive. The framing is relatively rigid (when compared with lower quality filters). The filter material seems pretty substantial, and the backing carbon filter is similar to what you'll find on good, multi-stage air purifiers (4 or 5 stage).So there are a couple problems:1.) Despite the quantitative filter performance being slightly worse than the filters I'm replacing, the flow rate is lower. Using a spring gage and clip from the middle of the center pleat, I measured around a 2.5 (sig figs, natch) Nm DIFFERENCE in force from normal. Everyone's system pressure is different, but more force against the filter at the same filter performance isn't good. It goes directly into the next problem....2.) The filter is dimensionally smaller than EVERY OTHER 16x20x1 filter I've used!!! This one seems especially odd, considering that there's a standard for this type of thing. The air return filter doors I use are pretty normal, builder-grade stuff. Generally speaking, the filters are a tight fit, with the exposed screw heads providing the ""bite"" that holds the filters in place. These filters are a little over 1/4"" smaller in length and width. I had to use cardboard from the shipping box to make corner shims. This is a bigger deal than you might think. It's not just inconvenient if your filters are parallel to the floor, it's also working against the idea of having a good filter in the first place. While a good filter can deal with odors and allergens, the primary function is to keep the coil clean. The filter isn't doing that well if it's easy for air to bypass the filter. Upon installing my filters (I have 4 at this size, every replacement), I noticed whistling - which is the sound of bypass air. I really haven't had that problem before. Normally, I tape the filter into the frame, since it's just cheap insurance. In this case, it's ABSOLUTELY necessary. The low flow rate and undersized frame make the shims and tape non-optional, in my opinion.As far as the filter performance goes, it's fine. I went from some of the best (and most expensive) filters you can buy, to these - the understanding being that there would probably be some tradeoff in performance. As a filter, it seems to function pretty well (once you've addressed the fitment issues). The decrease in flow rate impacts your HVAC system pressure. I doesn't make a huge difference for me since I have enough AC units that each one is only covering about 1300sq, however YMMV. Looking over this, it probably sounds like I'm extremely critical abou the product, but I'm excited about the carbon filter. While my old filters supposedly are impregnated with carbon material in the filter fabric, the Nordic Pure approach seems more substantial. Being in a multi-dog household, it's hard to say if it's more effective, but it's at least as good, so that's a plus!I'm a huge believer in good air quality. You take at least 10 breaths a minute, after all. Quality air filters should be a priority, even though there can be some sticker shock for ""good"" ones. However, that doesn't mean that you don't hit diminishing returns and declining value at some point. If you aren't put off by the two cons listed above, the Nordic Pure filters should work for you. It's a little more messy, but you should tape your filter frames (IMO) - and it's ABSOLUTELY NECESSARY with these filters. Conditionally recommended.MERV is the international standard for rating filters like these. The MERV scale goes up to 16 (as of this review) and 13 is the highest rating for residential use. The difference between MERV12/13 for residential use is negligible and some older furnaces may have trouble with MERV 11+ filters anyways. This is because the higher the rating, the thicker the filter and the harder your furnace has to work to pass air through it. MERV 12 will filter out just about everything save for the smallest particulates (I.E Bacteria/Viruses and Smoke). With added carbon filtering to a MERV 8+ it is possible to filter out smoke/bacteria (NOT Viruses though) but the product in question (MERV 12 pleated, no carbon) does not have added carbon filtering.Overall, with the amount you're getting and the MERV rating for these filters, this value (40USD for x6) is stellar. Filtrete way over charges for their similarly rated MPR (their own unit of measurement) filters. Keep the filters in a dust free environment (in the box) before use. They are not individually wrapped. This is not a problem if they are adequately stored.I live in an apartment on the 3rd floor. The place is a you-know-what-hole and I don't plan on staying after lease is up in a few months. I was using Filtrete filters, but they were so rigid that I actually had to bend the filter slightly to get them to fit into the duct. I was also having trouble justifying the price per filter since my apartment may as well be open air it is so poorly insulated.I got a box of 6 of these filters for roughly 30 dollars from Amazon Warehouse and they are very quality and easily comparable to the Filtrete brand. I am extremely satisfied with the price per filter compared to Filtrete; almost 2 to 1.I also thought that the thick cardboard box they are shipped in was great because it is great for protecting the remaining filters in my closet until they are needed; a problem I always have when buying the #M filters, which are just wrapped in plastic when I purchase from Costco.Best home air filter you can get. It's MERV 12 so it filters out everything but cigarette smoke. But get a MERV 14 or better filter and you can (15 is hosptal grade and 16 is what they use in surgery rooms). I don't smoke in my home (I don't smoke, period) so it would be overkill for me. If you do smoke and have a 13+ you will notice a difference in the air quality even though you will still have orange walls from the nicotine. This filter gets all the danders, pollens, molds, spores, whatevers, and traps them in this filter. If you have allergies, YOU NEED ONE OF THESE FILTERS! Especially if you get congested at night. I live in a low humidity high pollen area and this air filter has been wonderful. This isn't the standard run of the mill blue screen dollar store air filter. This is high quality and sturdy. The filters come in a 6pk, and last about 2 months each. Meaning you can go 1 year breathing easy through your nose with this purchase. Like I said before, if you have allergies and you don't have a MERV 12 filter. You're living life wrong. Your home should be your sanctuary from the allergens. Yeah if you go outside, you should need your allegra but not in your home. If you buy these filters, you will not regret it. You have to breathe to live... lol Why not have the best air possible in your home and have a sanctuary you can actually breathe deeply in? Best money I've ever spent. Would give 999 stars if I could. Here's a link to a MERV rating chart so you can compare to see what best fits your needs : [...]I did a lot of research before ordering these filters. The apartment that I moved into had a filter that was so dirty, it was falling apart when I took it out of the HVAC. Nordic Pure air filters were highly recommended by a number of websites and they do not disappoint! The improvement was immediate and I am glad I purchased them.Pro's:","Pro's:
-MERV 12 is equivalent to MPR 1500-1900
-Ideal for high efficiency air filtration
-Can help those with moderate allergies and asthma
-Made in the USA
Con's:
-The filter is dimensionally smaller than EVERY OTHER 16x20x1 filter
-The flow rate is lower than other filters",38
