Specs,Name,Features,Output
"{'Hair Type': 'All', 'Size': '1.25 Inch (Pack of 1)', 'Color': 'Blue and Black', 'Brand': 'BaBylissPRO', 'Material': 'Titanium'}",BaBylissPRO Nano Titanium Spring Curling Iron,,"The BaBylissPRO Nano Titanium Spring Curling Iron is a versatile tool that can be used on all hair types. The titanium barrel heats up quickly and evenly, and the spring-loaded clamp creates perfect curls every time. The 1.25-inch barrel is ideal for creating tight, spiral curls, and the blue and black design is sleek and stylish."
"{'Brand': 'MIXPOWER', 'Item Dimensions LxWxH': '10.59 x 8.58 x 2.36 inches', 'Material': 'Chrome Vanadium Steel', 'Finish Type': 'Black phosphate finish', 'Number Of Pieces': '50'}","MIXPOWER 50 Pieces 1/4"" Dr. Impact Socket Set, CR-V, 6 Point, SAE/Metric, 5/32 Inch - 9/16 Inch, 4mm - 15mm, Shallow/Deep","High-quality CR-V SteelMade from drop forged and heat treated chrome vanadium steel (50BV30) with black phosphate finish, providing the durability for a hard use. Set Includes1/4""Dr.  deep/shallow (SAE) : 5/32"",3/16"", 7/32"", 1/4"", 9/32"", 5/16"", 11/32"", 3/8"", 7/16"", 1/2"", 9/16"" and 1/4""Dr.  deep/shallow (Metric) : 4mm, 4. 5mm, 5mm, 5. 5mm, 6mm, 7mm, 8mm, 9mm, 10mm, 11mm, 12mm, 13mm, 14mm, 15mm. High-torqueRadius corner, 6-point drive design turns the flat sides of the fastener and provide maximum torque, while not peeling and damaging the corners. Dual Size MarkingsHigh-contrast laser etched with high-visibility markings and hard stamped with size labels, ensure permanent socket identification. Service GuaranteeAll MIXPOWER Tools meet or exceed ANSI performance standards.  It comes with 1 year quality guarantee.","The MIXPOWER 50 Pieces 1/4"" Dr. Impact Socket Set is a high-quality socket set that is perfect for any mechanic or do-it-yourselfer. The set includes a variety of shallow and deep sockets in both SAE and metric sizes, so you can tackle any job. The sockets are made from durable chrome vanadium steel with a black phosphate finish, and they're clearly marked with size labels for easy identification. The set also comes with a 1 year quality guarantee, so you can be sure it will stand up to even the most demanding jobs."
"{'Connector Type': 'Auxiliary', 'Brand': 'Cable Matters', 'Warranty Type': 'Lifetime', 'Number of Ports': '2', 'Compatible Devices': 'Headphones, Amplifiers'}",Cable Matters 5-Pack 1/4 to 1/8 Headphone Adapter,Re-engineered 1/4 to 3. 5mm adapter made of solid copper for improved durability and longevity. 5-pack 3. 5mm to 1/4 adapter allows a 6. 35mm (1/4 inch) stereo port to accept a stereo cable with a standard 3. 5mm (1/8 inch) plug. The headphone jack adapter connects headphones to audio devices such as amplifiers or AV receivers with headphone jack. Convenient and cost-effective 5-pack 1/8 to 1/4 adapter provides spare or replacement adapters to use on different audio systems. Gold-plating 3. 5 mm to 1/4 adapter resists corrosion and ensures minimal signal loss.  The 6. 35 to 3.,Cable Matters 5-Pack 1/4 to 1/8 Headphone Adapter is a re-engineered 1/4 to 3. 5mm adapter made of solid copper for improved durability and longevity. The headphone jack adapter connects headphones to audio devices such as amplifiers or AV receivers with headphone jack. Convenient and cost-effective 5-pack 1/8 to 1/4 adapter provides spare or replacement adapters to use on different audio systems. Gold-plating 3. 5 mm to 1/4 adapter resists corrosion and ensures minimal signal loss.
"{'Brand': 'Aqueon', 'Color': 'Orange', 'Material': 'Glass', 'Item Dimensions LxWxH': '20.25 x 10.5 x 13.13 inches', 'Shape': 'Rectangular'}",Aqueon NeoGlow LED Aquarium Kit,"Aquariums featuring bright colors that pop. Low profile hood with blue colored LED lights showcase the bright colors inside the aquarium. Includes 3 vibrant plants, multi-colored gravel, black background to highlight fish while hiding power cords, water conditioner, fish food, thermometer, fish net and setup guide. Also includes Aqueon 50W preset heater, calibrated to keep your fish tank at 78.","The Aqueon NeoGlow LED Aquarium Kit is a complete fish tank setup that includes everything you need to get started. This aquarium features bright colors that pop, and the low profile hood with blue colored LED lights showcase the bright colors inside the aquarium. The kit includes 3 vibrant plants, multi-colored gravel, black background to highlight fish while hiding power cords, water conditioner, fish food, thermometer, fish net and setup guide. Also included is an Aqueon 50W preset heater, calibrated to keep your fish tank at 78 degrees Fahrenheit."
"{'Color': 'Gray', 'Brand': 'Rubbermaid Commercial Products', 'Capacity': '10.25 Gallons', 'Material': 'Plastic', 'Finish Type': 'Painted', 'Item Dimensions LxWxH': '15.75 x 22.83 x 22.44 inches', 'Shape': 'Rectangular', 'Opening Mechanism': 'Swing-Lid', 'Item Weight': '0.9 Pounds'}","Rubbermaid Commercial Products Fg295700Gray Plastic Resin Deskside Wastebasket, 10 Gallon/41 Quart, Gray","Space-efficient, economical, and an easy and an effective way to recycle. All-plastic construction wont chip, rust or dent. Fits under standard height desk. Great for conference rooms, registers, admissions, display rooms, gift shops, housekeeping, offices, shops, and more. Rolled rims add strength, and are easy to clean. A solution for home, office, and more. Recycling and side bin options available. Made in the usa.","The Rubbermaid Commercial Products Fg295700Gray Plastic Resin Deskside Wastebasket is a space-efficient, economical, and an easy and an effective way to recycle. All-plastic construction wont chip, rust or dent. The rollers add strength and are easy to clean. It's perfect for use in conference rooms, admissions offices, housekeeping areas, shops and more! This durable office wastebasket will stand up to the heaviest of loads without breaking or bending. With options for recycling and side bins available, this is a practical solution for your home or office. Made in the USA!"
"{'Color': 'Yellow', 'Brand': 'Thonapa', 'Voltage': '125 Volts', 'Input Current': '15 Amps', 'Wattage': '1875 watts'}",25 Foot Lighted Outdoor Extension Cord - 10/3 SJTW Yellow 10 Gauge Cable with 3 Prong Grounded Plug for Safety - Great for Garden and Major Appliances,"ALL PURPOSE EXTENSION CORD - Indoor and Outdoor use.  Great for gardening, landscaping, or powering any household appliance. DURABLE DESIGN - Flexible vinyl covering protects cords against moisture, abrasion and sunlight.  Slip resistant. REINFORCED BLADES protect prongs from bending or breaking during heavy use. LED LIGHTED PLUGS - An internal LED lights up to indicates when the power is on.","The Thonapa 25 Foot Lighted Outdoor Extension Cord is a durable and flexible extension cord that is perfect for indoor and outdoor use. With a reinforced design, this cord is built to last. The LED lighted plugs make it easy to see when the power is on, and the slip resistant design keeps the cord in place."
"{'Material': 'Plastic', 'Brand': 'The HC Companies', 'Color': 'Warm Gray', 'Style': 'Contemporary', 'Shape': 'Round'}","The HC Companies ECA10000A421020LRDEN planters, Warm Gray","VERSATILE - Removable and attached saucer is ideal for indoor and outdoor spaces. BEAUTIFUL DESIGN - Contemporary design and fresh colors for modern styling. COORDINATES - Perfectly pairs with our full Eclipse line of lightweight and durable planters, window boxes and hanging baskets all sold separately. DURABLE & LIGHTWEIGHT - These containers are very durable & lightweight. DIMENSIONS - 10""x10""x8.","The HC Companies ECA10000A421020LRDEN planters are versatile and perfect for both indoor and outdoor use. With a contemporary design and fresh colors, these planters will add a touch of style to any space. Made from durable and lightweight plastic, these planters are a great choice for any home or garden."
"{'Series': 'CP10', 'Brand': 'COOPERS', 'Generation': '1_st_generation', 'Screen Size': '10 Inches', 'Operating System': 'Android'}","Tablet 10 inch Android Tablet, Android 10.0 Tablet Quad-Core Processor 32GB Storage Tablet Computer, 2GB RAM, 8MP Camera, Long Battery Life (Black)","Excellent Performance---This Google Tablet CP10 Featuring with Powerful Quad-core SC7731E, 1. 3 GHz CPU, 2GB RAM and Newest Android 10. 0 Operating System.  Ensure Faster and more Responsive Using Experience for Quick APP Launches, Smooth Light Games and Videos. Great View and More Responsive---This 10'' Tablet Pad Adopts a 1280 x 800 IPS HD Display, Presenting a Bright Display with Vivid Colors for a more True-to-life Viewing experience, Brings you a Crisper and Brighter image.  Featuring with 10. 0"" Capacitive touch, Five point cap-touch G+G, Ensure a more Fluently Action for Movie and Game. More Functional---Front 2. 0 Mega pixel, Back 8. 0 Mega pixel camera with Flash Light, Support Bluetooth, Built-in GPS, 32GB Storage, 1080P Videos.  Meets Reading, Photograph, videos, Music, etc.  Suitable for Most Life Scenarios. Long-Life Battery---Equipped with a 6000mAh Built-in Rechargeable Battery, Enables about 8 Hours Mixed-use when Travelling.  Read e-Books, Listen to Music, Watch a Movie, Play a Game, or Surf the Internet, This tablet will be a Perfect Choice. 2. 4G WIFI Connect---Kindly Note: this is a WIFI tablet, NOT Support the SIM Card.  2021 Newest Tablet Computer Stay Connected with Built-in Bluetooth 4. 0 and Wi-Fi 802. 11 ac/b/g/n.  Perfect for Fast Connecting Network.","This Android 10. 0 Tablet is a perfect gift for someone who loves to stay connected and wants an excellent performance tablet that can handle any work or play. The powerful quad-core SC7731E, 1. 3 GHz CPU, 2GB RAM and the newest Android 10. 0 operating system makes this tablet more responsive than ever with faster app launches and smoother light games and videos. With a 1280 x 800 IPS HD display, the screen delivers a bright image with vivid colors that you won't be able to find anywhere else, making it easier to read text on web pages or watch movies without squinting. With a 10"" capacitive touch screen and five point cap-touch G+G, this tablet ensures a more fluent action for movie and game playing."
"{'Brand': 'SIEMENS', 'Current Rating': '100 Amps', 'Voltage': '240 Volts', 'Circuit Breaker Type': 'Standard', 'Mounting Type': 'Plug-In Mount'}",Siemens Q2100 2 pole 100a Plug-in 240v breaker Q2100,,"The Siemens Q2100 2 pole 100a Plug-in 240v breaker is a high-quality breaker that is designed to be used in a variety of applications. This breaker features a plug-in design that makes it easy to install and remove, and it also has a high current rating of 100 amps. The Siemens Q2100 2 pole 100a Plug-in 240v breaker is also UL listed and CSA certified, making it a safe and reliable choice for your home or office."
"{'Flavor': 'Cocoa Dusted 32 Count (Cocoa Dusted)', 'Brand': 'Blue Diamond Almonds', 'Allergen Information': 'Tree Nuts', 'Weight': '1.25 Pounds', 'Item Form': 'Roasted'}","Blue Diamond Almonds Oven Roasted Dark Chocolate Flavored Snack Nuts, 100 Calorie Packs, 32 Count","Contains 32 single serve 100-calorie travel packs of Blue Diamond oven roasted dark chocolate snack almonds. Covered with real cocoa power for a rich chocolate flavor - great for your next party!. Tasty and high in protein and fiber. Single serving packs makes this a perfect travel snack for adults and children on the way to the office, school, or just on the go.","The Blue Diamond Almonds Oven Roasted Dark Chocolate Flavored Snack Nuts are a healthy and delicious snack option. These almonds are covered in real cocoa powder for a rich chocolate flavor, and are high in protein and fiber. The single serving packs make this a perfect snack for adults and children on the go."
