,Title,Faqs,Types,Word_Count
43,ballistic helmets,,"<h2>FAQs on ballistic helmets</h2><h3>Is a ballistic helmet worth it if you're not military?</h3><p>There are many reasons to own a ballistic helmet if you're not in the military. For instance, many SWAT officers wear one when serving high-risk warrants, and it's common for reporters who are reporting in active war zones to wear one. Helmets are also the most secure platform for mounting night vision, as compared to headbands and skull caps, but a bump helmet is just as secure with less cost. Ultimately, it will be up to the end-user to decide if ballistic protection for their head is worthwhile.</p><h3>Are ballistic helmets legal?</h3><p>The short answer to this is that local laws vary. The long answer is that in certain states, you cannot buy body armor in the mail and have to go to an authorized dealer, and in nearly every state is it illegal to own any kind of body armor if you are a convicted felon. Additionally, in some states, wearing body armor while committing a crime of any sort leads to an enhanced sentence. Know your local laws and proceed with caution.</p><h3>What is the difference between bump and ballistic helmets?</h3><p>A bump helmet only provides protection against blunt force trauma, hence the name ""bump helmet."" Ballistic helmets are made of specially composed materials designed to deflect or stop bullets and fragmentation. It is very important that you make sure that you are wearing the right helmet for the right job, so if you anticipate ballistic threats, don't be caught wearing a bump helmet.</p><h3>Is there a Level 4 ballistic helmet?</h3><p>As of the time of writing, there is no helmet that reliably stops a direct hit from M2 armor-piercing rounds at a distance of 10 feet, which is more or less the standard for NIJ IV. Additionally, rounds of this caliber enter into the realm of muzzle energies that would cause traumatic brain injury, whiplash, and concussion simply from the actual force of the round impacting and being stopped by the helmet, making this a very hard thing to achieve.</p><h3>What is a Level 3 ballistic helmet?</h3><p>A true level III ballistic helmet will stop a 7.62 NATO round at 10 feet. To my knowledge, there is only one helmet that achieves this without using additional armor applique, and that is the Highcom Arditi. Additionally, the National Institute of Justice does not officially certify helmets, so it's mostly on the manufacturer to test that their helmets can do the same thing as the NIJ standard for plates. Reference this link for more information.</p><h3>What is the strongest ballistic helmet?</h3><p>Of the helmets we surveyed, the Ops-Core RF1 and the Highcom Arditi are the current top contenders for raw ballistic protection. Both of them will stop serious rifle threats, and the Ops-Core rated for that hit on every part of the helmet, whether it's on the edge or on the top of the cranium.</p><h3>What ballistic helmets do SEALs use?</h3><p>The short answer to this question is ""whatever the hell they want,"" but the long answer is that Navy SEALs have been spotted wearing Ops-Core helmets most frequently, with specific versions like the Ops-Core FAST maritime being specifically designed for their use. Rest assured that whatever the latest and greatest is, generously funded Special Operations units are probably using it in some capacity.</p><h3>Can civilians buy ballistic helmets?</h3><p>It depends on the specific model and where the individual in question lives. Certain retailers and certain manufacturers will not sell certain items without proof of military or law enforcement affiliation. This is mostly done for liability reasons and a desire to clamp down on people trying to sell high-tech helmets to Russia and China to be reverse-engineered.</p><h3>Are ballistic helmets controlled for export?</h3><p>Ballistic helmets, personal protective equipment, and military gear, in general, are governed under the International Trade in Arms Regulation, or ITAR. It is a severe offense to sell, give, or trade these items outside of the borders of the United States without specific licensure from the American government. Violating this regulation can lead to severe penalties such as fines, prison time, and asset confiscation. There is a significant black market for American tactical gear, especially in countries where MilSim Airsoft is popular, such as Europe and Asia. DO NOT buy personal protective equipment to be resold to a foreigner, or risk severe penalties, no matter how many multiples of the MSRP they offer to pay you. When in doubt, ask the manufacturer if the item in question is controlled under this regulation.<br/>",742
173,first aid kits,,"<h2>FAQs on first aid kids</h2><h3>Why do I need a first aid kit.</h3><p>People do stupid things; ergo, you need a first aid kit. Oh yeah, and accidents can happen at the most random times. Like the time I sliced myself with my Buck Cadet. While opening a package. For a plastic pie server. (How did I get this job again?)</p><h3>What should I look for in a first aid kit</h3><p>A first aid kit's contents will vary widely from kit to kit, but the chances are if you don't know what something is or how/when to use it, then you probably shouldn't get it.</p><h3>Where should I keep a first aid kit?</h3><p>Wherever you think you'll need one. In your glove box, under your sink … just keep it easily accessible. Personally, I carry one with me everywhere I go, but then again, I'm weird like that.</p><h3>Do first aid kits expire?</h3><p>No, but some components may need to be replaced from time to time. Most over-the-counter medications never expire; however, they will slowly lose potency over the years. Bandages and dressings require dry, sealed packages to maintain their sterile integrity. Gel packets, alcohol wipes, and similar supplies will eventually dry out over time and need to be replaced every so often.</p><h3>Are there any first aid kit regulations I should be aware of?</h3><p>To my knowledge, there are no regulations on first aid kits. That said, there are plenty of laws and other restrictions surrounding the administration of first aid. The most significant are Good Samaritan laws and laws restricting who can administer medications in an emergency.</p><h3>What should a first aid kit include for patching?</h3><p>This will vary from kit to kit depending on a given first aid kit's intended purpose. As of late 2021, common OSHA-compliant kits must include (at minimum): a box of adhesive bandages, multiple gauze pads (at least 4 by 4-inches), two large gauze pads (at least 8 x 10 inches), and one roller gauze bandage (at least 2 inches wide).</p><h3>Can I take a first aid kit on a plane?</h3><p>Absolutely. Unless you plan to pack along an emergency knife, carrying a first aid kit onto a plane shouldn't cause any issues. The only potential issue you might run into is if you include trauma shears in your kit (a rare add-on). I've only taken trauma shears through TSA a handful of times, but I haven't had any issues. Your mileage may vary.</p><h3>How much does a first aid kit weight?</h3><p>In general, first aid kits tend to weigh in somewhere between one and three pounds. That said, each kit is different, and I've seen kits above and below those numbers.</p><h3>Do I need to consult a physician or medical professional to approve first aid supplies at my business?</h3><p>Workplace first aid supplies are dictated by OSHA standards, and all OSHA-mandated first aid equipment can be purchased without restriction at Amazon, CVS, Walmart, etc. Of course, none of your supplies are any good if no one knows how to use them. Get yourself and your staff first aid certified.</p><h3>Should first aid kits be regularly inspected to ensure contents are complete and up to date</h3><p>Absolutely. During my time as a lifeguard and assistant pool manager, my staff and I regularly checked the status of our first aid kits.</p><h3>Can over-the-counter medicines be put in first aid kits?</h3><p>Yes, although which over-the-counter medications a first aid kit includes will depend somewhat on its intended use case(s). First aid kits frequently include acetaminophen (Tylenol), aspirin, ibuprofen (Advil/Motrin), a topical antiseptic, and a topical antibiotic. They may also include sugar/glucose tablets, burn cream, or sting relief wipes.</p>",591
211,trail running shoes,,"<h2>FAQs on trail running shoes</h2><h3>Do you need different shoes for trail running?</h3><p>As with most workout gear, the answer is ""it depends."" If you plan on long distances (over 10 miles), you probably want to look at the trail runners with more cushion and deep lugs (assuming the trails are technical).</p><h3>What makes trail running shoes different from other running shoes?</h3><p>The typical trail runner has thicker cushioning and more rigidity throughout than a regular road shoe. More importantly, it has a tough outsole with lugs on the bottom to provide stability on the varied surfaces you'll find on trails. To help deal with wet and muddy conditions, some trail runners are waterproof, while others use breathable meshes and various types of drainage to help the shoe dry quickly and to help avoid blisters.</p><h3>Is it OK to use trail running shoes on the road?</h3><p>Usually, yes. However, I don't like to. The lugs on trail runners are designed to help navigate rocks and roots and to sink into softer trails. Deep lugs feel weird when running on paved surfaces, and wear out faster than they're supposed to. Having said that, there are crossover/hybrid shoes with shorter lugs and more flexibility for multi-surface running.</p><h3>What trail running shoes should I use to run in mud?</h3><p>Shoes with large (5-6mm) lugs and aggressive lug patterns provide ideal stability and confidence while running on muddy surfaces. Waterproof shoes are probably best, although they don't breathe as well, but most shoes are designed to at least drain water as you run.</p><h3>What's the most cushioned trail running shoe?</h3><p>Shoes made for ultra or marathon running tend to pack in the most cushioning. Hoka One One went all in on this maximum cushioning, and the Speedgoat 4 is one of the most cushioned you'll find.</p><h3>Should I wear gaiters with trail running shoes?</h3><p>This depends on the kind of trails you're running and the distance. Gaiters help to keep debris and moisture from getting into your shoes, so if you're running long distances on muddy, snowy, or sandy trails, they may be helpful. But if you're running relatively short distances, like three to five miles, they may be more trouble than they're worth.</p><h3>Why are trail running shoes so expensive?</h3><p>Regular running shoes are expensive enough as it is, right? Then why are trail runners even more so? It has to do with the increased durability needed in the shoe's upper, midsole, cushioning, and outsole. The materials that make up the shoes have to be sturdy enough to provide support and absorb impact while also being breathable and somewhat flexible. They also need to be able to last despite being literally run into the ground, so then you can understand how the price of these shoes climbs pretty fast.</p><h3>Can I wear trail running shoes for hiking?</h3><p>Absolutely. In fact, many serious hikers do. Check out this article from 2019, Top Footwear of the Appalachian Trail. Over 75 percent of the 365 Appalachian trail hikers that participated in the article survey that year wore trail runners at least part of the time. Be sure to break them in the same way as new boots, though, or you'll wind up with blisters and hot spots. Also, if you have ankle stability issues, you may want to stick with traditional hiking boots.</p><h3>Can I wear trail shoes for walking?</h3><p>Yes, but the hybrid/crossover trail runners, like the Brooks Caldera 5 and Divide 2, will probably perform the best on paved surfaces.</p>",568
239,trail running shoes,,"<h2>FAQs on trail running shoes</h2><h3>Do you need different shoes for trail running?</h3><p>As with most workout gear, the answer is ""it depends."" If you plan on long distances (over 10 miles), you probably want to look at the trail runners with more cushion and deep lugs (assuming the trails are technical).</p><h3>What makes trail running shoes different from other running shoes?</h3><p>The typical trail runner has thicker cushioning and more rigidity throughout than a regular road shoe. More importantly, it has a tough outsole with lugs on the bottom to provide stability on the varied surfaces you'll find on trails. To help deal with wet and muddy conditions, some trail runners are waterproof, while others use breathable meshes and various types of drainage to help the shoe dry quickly and to help avoid blisters.</p><h3>Is it OK to use trail running shoes on the road?</h3><p>Usually, yes. However, I don't like to. The lugs on trail runners are designed to help navigate rocks and roots and to sink into softer trails. Deep lugs feel weird when running on paved surfaces, and wear out faster than they're supposed to. Having said that, there are crossover/hybrid shoes with shorter lugs and more flexibility for multi-surface running.</p><h3>What trail running shoes should I use to run in mud?</h3><p>Shoes with large (5-6mm) lugs and aggressive lug patterns provide ideal stability and confidence while running on muddy surfaces. Waterproof shoes are probably best, although they don't breathe as well, but most shoes are designed to at least drain water as you run.</p><h3>What's the most cushioned trail running shoe?</h3><p>Shoes made for ultra or marathon running tend to pack in the most cushioning. Hoka One One went all in on this maximum cushioning, and the Speedgoat 4 is one of the most cushioned you'll find.</p><h3>Should I wear gaiters with trail running shoes?</h3><p>This depends on the kind of trails you're running and the distance. Gaiters help to keep debris and moisture from getting into your shoes, so if you're running long distances on muddy, snowy, or sandy trails, they may be helpful. But if you're running relatively short distances, like three to five miles, they may be more trouble than they're worth.</p><h3>Why are trail running shoes so expensive?</h3><p>Regular running shoes are expensive enough as it is, right? Then why are trail runners even more so? It has to do with the increased durability needed in the shoe's upper, midsole, cushioning, and outsole. The materials that make up the shoes have to be sturdy enough to provide support and absorb impact while also being breathable and somewhat flexible. They also need to be able to last despite being literally run into the ground, so then you can understand how the price of these shoes climbs pretty fast.</p><h3>Can I wear trail running shoes for hiking?</h3><p>Absolutely. In fact, many serious hikers do. Check out this article from 2019, Top Footwear of the Appalachian Trail. Over 75 percent of the 365 Appalachian trail hikers that participated in the article survey that year wore trail runners at least part of the time. Be sure to break them in the same way as new boots, though, or you'll wind up with blisters and hot spots. Also, if you have ankle stability issues, you may want to stick with traditional hiking boots.</p><h3>Can I wear trail shoes for walking?</h3><p>Yes, but the hybrid/crossover trail runners, like the Brooks Caldera 5 and Divide 2, will probably perform the best on paved surfaces.</p>",568
18,survival knives,,"<h2>FAQs about survival knives</h2><h3>What is the best survival knife?</h3><p>Our pick for the best overall survival knife is the Gerber LMF II, which is not to say that it's the absolute best at anything, just that it's a knife that will work well for most people's purposes. Personally, I like the TOPS Brakimo, but that's what works for my intended purposes.</p><h3>Is it legal to carry a survival knife?</h3><p>That depends on your locality. Certain states prohibit the concealed carry of fixed blade knives, or knives over certain lengths. In general, these are knives intended for use in the wilderness, and most places in the world have exceptions in their knife laws for ""good reason,"" which is usually satisfied by being on a hiking or camping trip. As always, know your local laws.</p><h3>What are the holes on a survival knife for?</h3><p>Holes on a survival knife can serve many purposes, ranging from being lightening cuts, as with the Argali Carbon, to lashing holes on the Gerber LMF II that allow you to make an improvised spear, to lanyard loops to allow one to retain the knife easier in highly mobile situations like rock climbing or on a boat. Other uses can be for using a hand drill to make fire, straightening arrowheads, or opening gas keys on an oxygen tank.</p><h3>How thick should a survival knife be?</h3><p>Generally speaking, knives that are 4mm in thickness or greater at the spine are going to be able to stand up to the kind of high-impact use that's required to strip branches, baton logs, and chop wood. However, this is not a hard and fast rule, and the thickness can also be dependent on factors such as blade length, intended use, and blade steel. Making the blade too thick can add unnecessary weight or make the knife minimally useful for cleaning animals or cutting vegetables.</p><h3>What is jimping?</h3><p>Jimping is the name for serrations on the spine of the knife, which allow you to get greater control of the knife when performing delicate tasks such as whittling or cleaning an animal. They allow you to get a grip on the spine of the blade with your thumb.</p><h3>What is the best type of steel for a knife's blade?</h3><p>This depends on your intended usage, your sharpening capabilities, and your budget. I personally prefer CPM S35VN, as it holds an edge for a very long time and keeps rust off very well. However, it's difficult to resharpen and requires that I send it off to a professional for resharpening. Many survival knife companies seem to prefer 1095, 420HC, and D2, as they're easy enough to resharpen and offer good edge retention, at the expense of corrosion resistance. Buyers looking for knives to use around water, especially saltwater, should look for knives specifically designed to hold up against heavy corrosion.</p><h3>How can I sharpen my knife?</h3><p>We did a great article on this, but in general you should invest in a good-quality guided sharpener for home usage, and a good-quality portable sharpening stone for use in the field, and learn how to use both properly. This will enhance the service life of your knife and save you money in the long run that would be otherwise spent on sending your knife to a professional for sharpening.</p>",539
182,gas masks,,"<h2>FAQs about gas masks</h2><h3>What gas mask do the Navy SEALs use?</h3><p>Most U.S. forces, including the Navy SEALs, generally use the Avon M50, but some have been spotted using the Ops-Core SOTR for certain cases.</p><h3>Is it legal to own a gas mask?</h3><p>In many states, there are laws that prohibit the wearing of masks with the intent to conceal one's identity. While gas masks do cover one's face, it's difficult to prove that someone wore a gas mask specifically to conceal their identity. A police officer may attempt to arrest you and charge you under these laws, but they often require intent to conceal, as in the case with Virginia. Know your local laws, and consult with an attorney.</p><h3>Who invented gas masks?</h3><p>Garrett Morgan, a Black scientist and inventor who was the son of a Confederate general and an enslaved woman, patented the first practical gas mask in 1914. These aided rescue workers and soldiers almost immediately, especially with the onset of World War I. He invented it due to observing how rescue workers were not able to enter the Triangle Shirtwaist company as it burned down in 1911, due to the noxious fumes, which killed 77 percent of the people who died that day. His invention was the first respirator meant to draw fresh air from below the smoke and carbon monoxide using a hose that dragged on the ground, and filter it through a wet sponge to remove smoke particles. His invention was then further developed by John Scott Haldane and others during World War I to defeat poison gas used by the Germans, who added things like chemical filters to neutralize low levels of chlorine and mustard gas.</p><h3>Were gas masks used in World War II?</h3><p>Yes, gas masks were used during World War II, but not as commonly as in World War I. Open gas attacks were relatively rare, mostly performed by the Imperial Japanese against Chinese citizens and troops. The rarity of gas attacks on the Western Front was largely due to the Nazis' blitzkrieg strategy requiring them to move too fast to wait for gas clouds to clear. Additionally, Hitler knew that his opponent, Winston Churchill, had stated openly that if the Nazis used gas, the British would respond in kind, stating ""In the event of the Germans using gas on the Russians…We shall retaliate by drenching the German cities with gas on the largest possible scale."" Churchill also felt that the allies should be less squeamish in using chemical and biological weapons, which was a very controversial thing to say, and which divided his own advisors. Finally, the German logistics system was dependent upon horse-drawn carriages, and they had not developed gas masks for horses that would allow the animals to breathe enough to draw a carriage, and the German scientific development was not advanced enough to provide gasses that would defeat common allied gas masks.</p>",478
64,dry fire training systems,,"<h2>FAQs about dry fire training systems</h2><h3>Is it difficult to learn how to use laser dry fire training systems?</h3><p>There can be a learning curve with some systems, namely setting up the software or zeroing the laser on laser dry fire training systems like the Mantis Blackbeard, but most of these systems include clear and concise information on how to set it up.</p><h3>What about recoil and loading a magazine?</h3><p>Using a system with force feedback like the CoolFire helps simulate recoil, and systems like the Blackbeard have their power stored in a magazine-shaped battery. The CoolFire doesn't impede magazine loading, so you can still practice magazine changes that way. For ultimate function, a system like a SIRT laser training pistol is best.</p><h3>Where should I place the target?</h3><p>Depending on your drill, place a target at a realistic engagement distance. The FBI minimum is 21 feet, but factors like being indoors vs outdoors, size of the target, and the system you're using can affect that.</p><h3>How does laser dry fire training systems help with concealed carry licensing?</h3><p>Certain states have training requirements to qualify for a concealed carry license or permit, and while these tests are not overly onerous in terms of the requirements for accuracy, novice shooters may find a dry fire system helpful to familiarize themselves with their weapon before they go to qualify for their license. In addition, training both dry and live fire is essential to maintain an adequate level of proficiency to reliably ensure that you could defend yourself from an attacker.</p><h3>What kind of lasers do laser dry fire training systems use?</h3><p>Dry fire training systems almost exclusively use Class A lasers, either red, green, or infrared. This is for safety purposes, given that Class A lasers pose minimal risk to the human eye, and they don't consume much battery power or produce much heat. The different colors are personal preference mostly, but infrared lasers can help shooters not rely on the flash of a laser impact to aim their weapon while still allowing the camera on their phone to pick up the light for scoring purposes on an app like Mantis Laser Academy.</p><h3>How many shots can be fired using the laser dry fire training system?</h3><p>It depends on the system. Most are only limited by battery life and your trigger finger cramping, but systems like the CoolFire have a limited store of compressed CO2 and need to be replenished in between strings of fire.</p><h3>Can I use my laser dry fire training system to train for multiple firearms?</h3><p>It depends on the system. For things like the Mantis X3, it can fit on any firearm with a Picatinny rail, and the software can be programmed for multiple configurations. For the CoolFire, it needs to be purchased for the exact handgun that you plan on shooting with.</p>",461
162,swimming goggles,,"<h2>FAQs on swimming goggles</h2><h3>How do you keep swimming goggles from fogging?</h3><p>Swimming goggles, safety glasses, and any other form of eye protection that doesn't allow for airflow will be susceptible to fog. Some goggles will feature a proprietary anti-fog coating, but I have never found these to be very effective. Instead, using a good anti-fog compound such as Cat Crap has worked for me in the past.</p><h3>How do you clean swimming goggles?</h3><p>After every use, you should rinse your goggles in fresh water, which will prevent the chlorine from degrading the coating on your goggles, making the rubber brittle, and leaving residue on your goggle. Doing this will prolong the lifespan of your goggles.</p><h3>Can I wear swimming goggles after LASIK?</h3><p>Once fully healed from LASIK, there should be no issue with swimming with goggles. However, consult your optometrist with this question, as we don't have any doctors on staff that I know of.</p><h3>How do you remove scratches from swim goggles?</h3><p>Depending on the severity of the scratches, and whether or not you have a mirrored coating on your goggles, you may be able to use a compound like Polywatch to buff out some scratches. However, this may not make the goggles as clear as they were before.</p><h3>How do you adjust swimming goggles?</h3><p>Your goggles should be snug, but not overly tight, and should stay on even when diving into the water, pushing off of the wall of the pool, or in heavy surf when in open water. For competitive swimmers, wearing your goggles underneath a swim cap may help with maintaining fit, and other swimmers may find it helpful to change out the nosepiece of their goggles.</p><h3>Can I wear contacts with swimming goggles?</h3><p>You can, however, many swimmers who require corrective lenses instead prefer to wear prescription swim goggles to avoid the possibility of chlorine infiltration under their contacts, which could cause far worse irritation than against the naked eye.</p><h3>How do you assemble swimming goggles?</h3><p>This mostly applies to Swedish swimming goggles, since most swimming goggles require little to no set up. Swedish goggles need to be adjusted for your eye width by lengthening or shortening the string that connects the goggles over the bridge of your nose, and then the rubber straps need to be adjusted. To properly size the straps, whether you use rubber straps or bungees, you'll run the straps through the goggles once on each side, giving you an open end and a closed end. Tie off the open end or use a bungee gather, if using bungees, and adjust the tightness until the goggles feel secure on your head. Try the fit of the goggles underwater, and continue to adjust the length of the nose string and rubber straps until you achieve a secure fit, even in the most vigorous water conditions.</p>",460
102,mens watches,,"<h2>FAQs about men's watches</h2><h3>What is the hottest watch right now?</h3><p>Watches like the Richard Mille RM-01, Patek Philippe Nautilus, and Audemars Piguet Royal Oak, often jewel-encrusted, are seen on the wrists of musicians and other celebrities, due to the fact that they are extremely expensive and extremely rare, often as a status symbol. These watches are oftentimes not owned by the person wearing them but are loaned to them by the company as part of a marketing deal to encourage people to aspire to own a $200,000 watch some day.</p><h3>What is the most popular watch?</h3><p>The Rolex Submariner is arguably the most recognizable watch, to the point that people who don't know anything about watches can recognize it as ""a rollie."" This is due to the watch's connection with famous movie characters, excellent marketing deals done with sports, movies, and musicians to get the brand more exposure, and artificial scarcity, where Rolex actively controls who can and can't buy their watches.<br/></p><h3>What is a luxury watch?</h3><p>A luxury watch is a watch that is, by definition, difficult to obtain. Whether due to cost, availability, or both, luxury watches are exclusive and are more pieces of art than they are time-telling devices. These watches are owned as heirlooms, mementos, or status symbols, and are often only sold through specific dealers. Examples of luxury brands are Rolex, Omega, Audemars Piguet, Vacheron Contstantin, Breguet, Jaeger-LeCoultre, and A. Lange & Sohne.</p><h3>How do you know if a watch is good quality?</h3><p>First, evaluate the watch based on materials. In general, things like steel cases, sapphire crystals, and solid link bracelets are good things. Then, research the brand and make sure it has a reputation for quality. Third, avoid heavily advertised ""fashion watches"" like MVMT, Vincero, Valuchi, and so forth. These companies simply rebrand Chinese watches for a 10-times markup. Finally, look at what else might affect the price. Is it a limited edition? Is it rare? Was it featured in a movie? Is it no longer produced? In general, if a watch is vastly cheaper than a more popular option, it's not because you're getting some sweet secret deal, it's because the watch is actually made of lower-quality materials.</p><h3>What does a watch say about a man?</h3><p>I'll answer this one with an anecdote. A former boss of mine once said that whenever a young man came in for an interview wearing a large, ostentatious watch, he would ask him the time. If the man went for his cell phone, it showed that the watch was just there for show and/or it wasn't actually set, and let my boss identify people who were pretentious or ostentatious. Whether that's a good judge of character or not, I'll leave it up to you.<br/></p>",449
161,camping gear,,"<h2>FAQs on camping gear</h2><p>[Length: up to 50 words per FAQ.]</p><h3>Should I buy a two- or three-person tent for my partner and me?</h3><p>It depends on whether that extra room is worth carrying extra weight. Typically, I recommend going with a larger two-person tent.</p><h3>Aren't mummy bags tight and uncomfortable to sleep in?</h3><p>They can be if you get one that's too tight a fit. It's important to test the sleeping bag you purchase before you take it to the field.</p><h3>Do I need to filter/treat the water? I hear it's safe to drink out of the river/lake.</h3><p>Yes. I recommend filtering or treating all water that doesn't come from a potable tap. In some countries, I recommend filtering or treating the tap water as well.</p><h3>Should I get the MSR Whisperlite or Dragonfly stove?</h3><p>Neither. I recommend the JetBoil family of stoves.</p><h3>Can I just buy a smaller backpack and strap more to the outside if I need to?</h3><p>You can, but everything strapped to the outside of your pack is more likely to detach and get lost. If you are climbing in vertical terrain, you'll want to keep your gear in your pack to avoid dropping it on other people and to keep the weight closer to your center of gravity.</p><h3>Should I take packaged or real food?</h3><p>I prefer taking as much real food into the backcountry as possible, but watch the weight because it adds up fast. I typically carry real food for the first few days and then shift to dehydrated meals as the trip goes on.</p><h3>Is it worth the weight to take hiking poles?</h3><p>Hell yes. Trekking poles are worth their weight in gold when traveling over uneven terrain as they provide additional balance and keep you from busting your ass while wearing a heavy pack. They can also help prevent you from injury, serve as poles for setting up a tarp, or even as splints for immobilizing injured arms and legs.</p><h3>Should I buy pots for cooking over an open fire or cooking on a stove?</h3><p>More pots equals more weight carried. If you're car camping, sure. Go ahead. When backpacking, I prefer integrated stove-pot combos like the JetBoil.</p><h3>Pillow or no pillow?</h3><p>Always. An inflatable pillow weighs next to nothing and provides additional comfort to help you get a better night's sleep.</p><h3>Should I pack a warm jacket?</h3><p>Yes. You should always pack an insulating layer - preferably one made from synthetic materials that will continue to insulate when damp. You should carry it every time you venture into the backcountry no matter the season. You should carry it in case you need it, or in case you come across an injured person who is at risk of a cold injury. Always take a warming layer.</p>",445
